Contrast,Correlation,Homogeneity,Energy,Dissimilarity,Entropy,Mean,Variance,Standard Deviation,Type
0.175695761,0.976440096,0.996745883,0.844029974,0.025319051,0.309885323,1.581005587,3.728702817,1.930984935,1
0.874546444,0.915604992,0.984172925,0.770455903,0.125362845,0.453390297,1.841572932,5.181268789,2.276240055,1
1.139664189,0.877101745,0.979380934,0.787269821,0.163331851,0.441878838,1.741095513,4.636616649,2.153280439,1
0.190396825,0.946391709,0.996547973,0.923454518,0.027301587,0.18328037,1.263670635,1.775815098,1.332597125,1
0.335620642,0.938722418,0.993850618,0.881039502,0.048256625,0.264336278,1.416108787,2.738527118,1.654849576,1
0.2871131,0.909304542,0.994771622,0.929294888,0.041216992,0.178476294,1.234046018,1.582841665,1.258110355,1
0.54470627,0.868254686,0.990138298,0.904249899,0.078077231,0.234583471,1.309104699,2.067270004,1.437800405,1
0.265982203,0.867154669,0.995236407,0.953700869,0.0380317,0.128551687,1.146079479,1.001097291,1.000548495,1
0.614197391,0.898353307,0.988838193,0.86375126,0.088131829,0.305651982,1.462336286,3.021236453,1.738170433,1
0.755887491,0.904027551,0.986291898,0.823602804,0.108403215,0.373131014,1.617208246,3.938044198,1.984450603,1
0.555426507,0.927205183,0.989862262,0.832543323,0.07976581,0.350673468,1.595947864,3.81501411,1.953206111,1
0.625319149,0.877514106,0.988670308,0.882686788,0.089659574,0.274931899,1.38612234,2.552616985,1.597691142,1
0.995147461,0.902998397,0.981960431,0.770119044,0.14270599,0.460134737,1.831936759,5.129541308,2.26484907,1
1.063865741,0.856732763,0.980757482,0.826489244,0.152476852,0.381333385,1.578460648,3.712871704,1.926881342,1
0.88209845,0.870541545,0.983918838,0.842376096,0.126656447,0.351504395,1.526639414,3.406878487,1.845773141,1
1.155591168,0.919733241,0.978978111,0.682201103,0.165847578,0.582620778,2.253027066,7.198441692,2.682991184,1
1.063865741,0.856732763,0.980757482,0.826489244,0.152476852,0.381333385,1.578460648,3.712871704,1.926881342,1
1.154594968,0.91722978,0.979119852,0.691636444,0.165447303,0.568957174,2.203582896,6.974700409,2.64096581,1
1.385116314,0.919904637,0.975014721,0.618948807,0.198373861,0.666750644,2.60221712,8.646669781,2.940522025,1
0.336987448,0.938544287,0.99382621,0.880815412,0.048451883,0.26474537,1.416624826,2.741709668,1.655810879,1
0.734089867,0.899761686,0.986500212,0.834546693,0.105622146,0.358015219,1.569872958,3.661722943,1.913562892,1
1.177600144,0.916520846,0.978682254,0.687869795,0.168798276,0.575124118,2.22080115,7.053258708,2.655797189,1
0.204883637,0.962082783,0.996207198,0.885141312,0.029520295,0.249668729,1.410113632,2.701723017,1.643691886,1
0.2941811,0.961652544,0.994659164,0.837251333,0.042199337,0.327396492,1.599368814,3.835731594,1.958502385,1
0.634781785,0.922395213,0.988447884,0.81974562,0.09111048,0.373294352,1.643661838,4.08983652,2.022334423,1
0.456661857,0.942905256,0.991713365,0.827232688,0.065502139,0.352126892,1.627733475,3.999158451,1.999789602,1
0.330335377,0.93100789,0.994006657,0.895348793,0.047376789,0.239829974,1.360678325,2.394008352,1.547258334,1
0.408196432,0.939399578,0.992586674,0.853910804,0.058556035,0.309907444,1.51986272,3.367933885,1.835193146,1
0.306003482,0.90038638,0.994421958,0.93081359,0.043939738,0.176676027,1.226888233,1.535952017,1.239335313,1
0.873702084,0.818537668,0.984182072,0.883589204,0.125237973,0.282571694,1.362943144,2.407392418,1.551577397,1
0.727153512,0.744011361,0.986922179,0.927155176,0.104089829,0.196812067,1.209258804,1.420284736,1.191756995,1
0.363126555,0.928671463,0.993400319,0.888501417,0.052104676,0.253120743,1.384916345,2.545450733,1.595446876,1
0.691429183,0.884896972,0.987434368,0.862859358,0.099208048,0.310547057,1.459446857,3.003523006,1.733067513,1
0.88209845,0.870541545,0.983918838,0.842376096,0.126656447,0.351504395,1.526639414,3.406878487,1.845773141,1
0.265982203,0.867154669,0.995236407,0.953700869,0.0380317,0.128551687,1.146079479,1.001097291,1.000548495,1
0.888426589,0.926743018,0.983829285,0.733860572,0.12749004,0.503478026,2.013188625,6.063767339,2.462471795,1
0.755887491,0.904027551,0.986291898,0.823602804,0.108403215,0.373131014,1.617208246,3.938044198,1.984450603,1
0.873702084,0.818537668,0.984182072,0.883589204,0.125237973,0.282571694,1.362943144,2.407392418,1.551577397,1
1.303872647,0.827309803,0.976399215,0.819150194,0.186897291,0.40136097,1.58922394,3.775178534,1.942981867,1
0.745367168,0.7544084,0.98657823,0.92270543,0.106696609,0.206017312,1.224064675,1.517493202,1.23186574,1
0.245877058,0.969332148,0.995518461,0.831153375,0.035302569,0.333047783,1.629343377,4.008710088,2.002176338,1
1.278918402,0.814206375,0.976946809,0.833648148,0.183153865,0.376714975,1.532400096,3.441771483,1.855201197,1
0.771269461,0.890453174,0.98591811,0.840057103,0.110808504,0.350661539,1.545760335,3.520272969,1.876239049,1
0.400060852,0.720355818,0.99269632,0.962099236,0.057464503,0.115681316,1.103884381,0.71530337,0.845756094,1
0.320305685,0.964045057,0.994196809,0.811484434,0.04592412,0.365516817,1.708019801,4.454264991,2.110512969,1
1.753631507,0.901389175,0.968229124,0.601459704,0.251472471,0.706697558,2.668338558,8.891678466,2.98189176,1
1.085414405,0.857322404,0.980370715,0.822390054,0.155555556,0.388326076,1.594052359,3.803731063,1.950315632,1
0.087370337,0.966559084,0.998389607,0.944748411,0.012575068,0.137799546,1.191929026,1.306338863,1.14295182,1
0.394894445,0.961526775,0.99278024,0.782127816,0.056746878,0.411547178,1.832273483,5.132068383,2.265406891,1
0.284990276,0.910177542,0.994821454,0.929235372,0.040893648,0.178343052,1.23458141,1.586408803,1.259527214,1
0.820641662,0.755327729,0.985125635,0.91433682,0.117644713,0.225178722,1.2486092,1.677022203,1.29499892,1
0.873702084,0.818537668,0.984182072,0.883589204,0.125237973,0.282571694,1.362943144,2.407392418,1.551577397,1
0.636239512,0.940939849,0.98849592,0.767012775,0.091177237,0.445141486,1.880337693,5.386368827,2.320855193,1
1.060330743,0.835167048,0.980806151,0.846798146,0.152022315,0.349904965,1.494720064,3.216379773,1.793426824,1
0.251306145,0.972199205,0.995435874,0.810206733,0.036045856,0.362496178,1.719761323,4.519765476,2.125974006,1
1.058804418,0.903688341,0.980803862,0.753480682,0.151786875,0.484805094,1.90165692,5.496761387,2.344517304,1
1.478351341,0.826862492,0.973250372,0.795474614,0.211844738,0.442345671,1.675390156,4.269298317,2.066228041,1
0.712126068,0.91575636,0.9870209,0.812426427,0.10224359,0.388050421,1.667752849,4.226586546,2.055866374,1
0.727153512,0.744011361,0.986922179,0.927155176,0.104089829,0.196812067,1.209258804,1.420284736,1.191756995,1
0.916606149,0.926011508,0.98330891,0.727891004,0.131566207,0.51287605,2.039598967,6.194248108,2.488824644,1
0.288071326,0.951974302,0.994735638,0.871373453,0.041381431,0.276276606,1.458608321,2.999137313,1.731801753,1
0.638121215,0.72306237,0.988394397,0.939457326,0.091572741,0.171026178,1.16886607,1.152102757,1.073360497,1
0.634781785,0.922395213,0.988447884,0.81974562,0.09111048,0.373294352,1.643661838,4.08983652,2.022334423,1
0.873702084,0.818537668,0.984182072,0.883589204,0.125237973,0.282571694,1.362943144,2.407392418,1.551577397,1
0.744909009,0.900685397,0.986446499,0.831186743,0.106908415,0.36188973,1.584862627,3.75024915,1.936556002,1
0.95244426,0.819646876,0.982676766,0.872243453,0.136656973,0.305309893,1.400415455,2.640498373,1.624961037,1
0.636239512,0.940939849,0.98849592,0.767012775,0.091177237,0.445141486,1.880337693,5.386368827,2.320855193,1
0.926766711,0.843262682,0.983145657,0.859958806,0.133012352,0.325032732,1.45181902,2.95643284,1.719428056,1
0.82175545,0.890078956,0.985087102,0.830382592,0.11786559,0.366249746,1.58273987,3.737935068,1.933374011,1
0.733038362,0.822311515,0.986708528,0.90042449,0.105109572,0.248518443,1.308459738,2.062706437,1.436212532,1
1.143346614,0.728237824,0.979373933,0.890676375,0.16374502,0.276457487,1.314880478,2.103579368,1.450372148,1
0.684797841,0.899707437,0.987570538,0.846391133,0.098227006,0.33576778,1.527693945,3.414001114,1.847701576,1
0.989505069,0.856177633,0.982091745,0.83904626,0.141800835,0.358959157,1.532100974,3.440024984,1.854730434,1
0.690383657,0.863459996,0.987525447,0.882453975,0.098933732,0.277592298,1.382182362,2.528136941,1.590011617,1
0.79645663,0.874429504,0.985548512,0.854060399,0.114237614,0.328756094,1.487186682,3.171352574,1.780829182,1
0.715361096,0.917556802,0.986925785,0.807826331,0.102772799,0.395302555,1.687622562,4.338508897,2.082908759,1
0.809615385,0.745441714,0.985500437,0.918677828,0.115734266,0.214235648,1.235110723,1.590235769,1.261045506,1
